name	scientific	url	family	family-common	color	type	image	location											
Common Sunflower	Helianthus anus	mojave-plants-annuals/helianthus-annus.html	Asteraceae	Sunflower	yellow	Annual	images/mojave-plants-thumbnails/helianthus-annus-t.jpg												
Fremont’s Phacelia	Phacelia fremontii	mojave-plants-annuals/phacelia-fremontii.html	Asteraceae	Sunflower	purple yellow	Annual	images/mojave-plants-thumbnails/phacelia-fremontii-t.jpg												
Desert Dandelion	Malacothrix glabrata	mojave-plants-annuals/malacothrix-glabrata.html	Asteraceae	Sunflower	white	Annual	images/mojave-plants-thumbnails/malacothrix-glabrati-t.jpg												
Browneyes	Chylismia claviformis	mojave-plants-annuals/chylismia-claviformis.html	Asteraceae	Sunflower	yellow	Annual	images/mojave-plants-thumbnails/chylismia-claviformis-t.jpg												
Aspen Bluebells	Mertensia arizonica	mojave-plants-perennials/mertensia-arizonica.html	Boraginaceae	Forget-me-not	blue	Perennial	images/mojave-plants-thumbnails/mertensia-arizonica-t.jpg												
Palos Verde	Parkinsonia florida	mojave-plants-tree/parkinsonia-florida.html	Fabaceae	Pea	yellow	Tree	images/mojave-plants-thumbnails/parkinsonia-florida-t.jpg												
Rydberg Penstemon	Penstemon rydbergii	mojave-plants-perennials/penstemon-rydbergii.html	Plantaginaceae	Plantain	purple	Perennial	images/mojave-plants-thumbnails/penstemon-rydbergii-t.jpg												
Bigelow’s Tansyaster	Dieteria bigelovii var. commixta	mojave-plants-perennials/dieteria-bigelovii.html	Asteraceae	Daisy	purple	Perennial	images/mojave-plants-thumbnails/dieteria-bigelovii-commixta-t.jpg												
Burrobush	Ambrosia salsola	mojave-plants-shrubs/ambrosia-salsola.html	Asteraceae	Daisy	white	Shrub	images/mojave-plants-thumbnails/ambrosia-salsola-t.jpg												
Showy Fleabane	Erigeron speciosus	mojave-plants-perennials/erigeron-speciosus.html	Asteraceae	Daisy	purple	Perennial	images/mojave-plants-thumbnails/erigeron-speciosus-t.jpg												
Streamside Bluebells	Mertensia ciliata	mojave-plants-perennials/mertensia-ciliata.html	Boraginaceae	Forget-me-not	blue violet	Perennial	images/mojave-plants-thumbnails/mertensia-ciliata-t.jpg												
