name	scientific	link	url	family	family-common	color	type	image	location																						
Yarrow	Achillea millefolium	achillea-millefolium	mojave-plants-perennials/achillea-millefolium.html	Asteraceae	Sunflower	white	Perennial	images/mojave-plants-thumbnails/achillea-millefolium-t.jpg																							
Pale Agoseris	Agoseris glauca	agoseris-glauca	mojave-plants-perennials/agoseris-glauca.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/agoseris-glauca-t.jpg																							
Burrobush	Ambrosia salsola	ambrosia-salsola	mojave-plants-shrubs/ambrosia-salsola.html	Asteraceae	Daisy	white	Shrub	images/mojave-plants-thumbnails/ambrosia-salsola-t.jpg																							
Charleston Mountain Angelica	Angelica scabrida	angelica-scabrida	mojave-plants-perennials/angelica-scabrida.html	Apiaceae	Parsley	white	Perennial	images/mojave-plants-thumbnails/angelica-scabrida-t.jpg																							
Colorado Columbine	Aquilegia coerulea var. ochroleuca	aquilegia-coerulea 	mojave-plants-perennials/aquilegia-coerulea.html	Ranunculaceae	Buttercup	white	Perennial	images/mojave-plants-thumbnails/aquilegia-coerulea-t.jpg																							
Western Columbine	Aquilegia formosa	aquilegia-formosa	mojave-plants-perennials/aquilegia-formosa.html	Ranunculaceae	Buttercup	"red, yellow"	Perennial	images/mojave-plants-thumbnails/aquilegia-formosa-t.jpg																							
Clokey’s Egg Milkvetch	Astragalus oophorus var. clokeyanus	astragalus-oophorus	mojave-plants-perennials/astragalus-oophorus.html	Fabaceae	Pea	"purple, white"	Perennial	images/mojave-plants-thumbnails/astragalus-oophorus-t.jpg																							
Desert Paintbrush	Castilleja chromosa	castilleja-chromosa	mojave-plants-shrubs/castilleja-chromosa.html	Orobanchaceae	Broomrape	yellow green	Shrub	images/mojave-plants-thumbnails/castilleja-chromosa-t.jpg	oc																						
Clokey’s Paintbrush	Castilleja martini var. clokeyi	castilleja-martini	mojave-plants-perennials/castilleja-martini.html	Orobanchaceae	Broomrape	"red, yellow, green"	Perennial	images/mojave-plants-thumbnails/castilleja-martini-t.jpg																							
Giant Red Indian Paintbrush	Castilleja miniata	castilleja-miniata	mojave-plants-perennials/castilleja-miniata.html	Orobanchaceae	Broomrape	red	Perennial	images/mojave-plants-thumbnails/castilleja-miniata-t.jpg																							
